data,create_time
"{""TMP"":[440],""HR"":[7560],""PRS"":[102000],""FX"":[5],""DO"":[2451],""wTMP"":[1260],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:01:12.719705+08
"{""TMP"":[460],""HR"":[7619],""PRS"":[102100],""FX"":[5],""DO"":[2272],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 12:00:07.147892+08
"{""TMP"":[450],""HR"":[7669],""PRS"":[102000],""FX"":[5],""DO"":[2379],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 11:59:01.577665+08
"{""TMP"":[440],""HR"":[7600],""PRS"":[102100],""FX"":[5],""DO"":[2280],""wTMP"":[1230],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 11:57:56.006834+08
"{""TMP"":[450],""HR"":[7569],""PRS"":[102100],""FX"":[6],""DO"":[2500],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 11:56:50.40959+08
"{""TMP"":[469],""HR"":[7710],""PRS"":[102000],""FX"":[5],""DO"":[2659],""wTMP"":[1240],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",17/11/2023 11:55:44.866756+08
"{""TMP"":[930],""HR"":[7000],""PRS"":[102000],""FX"":[6],""DO"":[2113],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:09:35.956527+08
"{""TMP"":[920],""HR"":[6980],""PRS"":[102000],""FX"":[6],""DO"":[1991],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:08:31.692507+08
"{""TMP"":[939],""HR"":[6960],""PRS"":[102000],""FX"":[5],""DO"":[2426],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:07:27.365597+08
"{""TMP"":[950],""HR"":[7080],""PRS"":[102000],""FX"":[5],""DO"":[2312],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:06:23.078206+08
"{""TMP"":[939],""HR"":[7050],""PRS"":[102000],""FX"":[6],""DO"":[1902],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:05:18.751036+08
"{""TMP"":[930],""HR"":[6969],""PRS"":[102100],""FX"":[6],""DO"":[2538],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:04:14.460378+08
"{""TMP"":[939],""HR"":[7040],""PRS"":[102000],""FX"":[6],""DO"":[1947],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:03:10.179275+08
"{""TMP"":[950],""HR"":[7100],""PRS"":[102000],""FX"":[6],""DO"":[1986],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:02:05.860476+08
"{""TMP"":[930],""HR"":[7030],""PRS"":[102100],""FX"":[6],""DO"":[1696],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 15:01:01.558002+08
"{""TMP"":[930],""HR"":[6990],""PRS"":[102100],""FX"":[5],""DO"":[2095],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:59:57.224699+08
"{""TMP"":[939],""HR"":[6950],""PRS"":[102000],""FX"":[5],""DO"":[1748],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:58:52.896936+08
"{""TMP"":[939],""HR"":[6860],""PRS"":[102000],""FX"":[6],""DO"":[1793],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:57:48.598495+08
"{""TMP"":[970],""HR"":[6800],""PRS"":[102000],""FX"":[5],""DO"":[1560],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:56:44.276065+08
"{""TMP"":[1000],""HR"":[6790],""PRS"":[102000],""FX"":[6],""DO"":[1872],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:55:39.947615+08
"{""TMP"":[1020],""HR"":[6690],""PRS"":[102000],""FX"":[5],""DO"":[1190],""wTMP"":[1330],""wPH"":[400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:54:35.472675+08
"{""TMP"":[1040],""HR"":[6569],""PRS"":[102000],""FX"":[6],""DO"":[582],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:53:30.610871+08
"{""TMP"":[1070],""HR"":[6500],""PRS"":[102000],""FX"":[6],""DO"":[1803],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:52:26.090016+08
"{""TMP"":[1090],""HR"":[6380],""PRS"":[101900],""FX"":[6],""DO"":[1803],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 14:51:21.696064+08
