data,create_time
"{""TMP"":[1080],""HR"":[6360],""PRS"":[102000],""FX"":[6],""DO"":[2227],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:40:14.040532+08
"{""TMP"":[1090],""HR"":[6300],""PRS"":[102000],""FX"":[6],""DO"":[1141],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:39:09.626398+08
"{""TMP"":[1140],""HR"":[6220],""PRS"":[101900],""FX"":[6],""DO"":[1808],""wTMP"":[1350],""wPH"":[1398],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:38:05.350169+08
"{""TMP"":[1100],""HR"":[6430],""PRS"":[101900],""FX"":[6],""DO"":[687],""wTMP"":[1330],""wPH"":[1397],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:37:00.955265+08
"{""TMP"":[1100],""HR"":[6430],""PRS"":[101900],""FX"":[6],""DO"":[262],""wTMP"":[1340],""wPH"":[1380],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:35:54.803523+08
"{""TMP"":[1040],""PRS"":[101900],""FX"":[6],""DO"":[30569],""wTMP"":[1340],""wPH"":[400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:34:50.573963+08
"{""TMP"":[1050],""HR"":[6370],""PRS"":[101900],""FX"":[6],""DO"":[1351],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:33:46.104157+08
"{""TMP"":[1070],""HR"":[6580],""PRS"":[102000],""FX"":[6],""DO"":[1140],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:32:41.867847+08
"{""TMP"":[1080],""HR"":[6650],""PRS"":[102000],""FX"":[6],""DO"":[1542],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:31:37.632484+08
"{""TMP"":[1070],""HR"":[6530],""PRS"":[101900],""FX"":[5],""DO"":[2247],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:30:33.394605+08
"{""TMP"":[1100],""HR"":[6600],""PRS"":[101900],""FX"":[6],""DO"":[1185],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:29:29.146303+08
"{""TMP"":[1090],""HR"":[6669],""PRS"":[102000],""FX"":[6],""DO"":[1825],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:28:24.922514+08
"{""TMP"":[1080],""HR"":[6669],""PRS"":[101900],""FX"":[5],""DO"":[1366],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:27:20.723456+08
"{""TMP"":[1030],""HR"":[6560],""PRS"":[101900],""FX"":[6],""DO"":[1250],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:26:16.456185+08
"{""TMP"":[1050],""HR"":[6580],""PRS"":[102000],""FX"":[6],""DO"":[1579],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:25:12.232633+08
"{""TMP"":[1060],""HR"":[6700],""PRS"":[101900],""FX"":[5],""DO"":[1217],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:24:08.012157+08
"{""TMP"":[1060],""HR"":[6750],""PRS"":[101900],""FX"":[6],""DO"":[1086],""wTMP"":[1320],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:23:03.751596+08
"{""TMP"":[1040],""HR"":[6650],""PRS"":[101900],""FX"":[6],""DO"":[1582],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:21:59.537135+08
"{""TMP"":[1040],""HR"":[6500],""PRS"":[102000],""FX"":[6],""DO"":[1185],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:20:55.415704+08
"{""TMP"":[1050],""HR"":[6590],""PRS"":[102000],""FX"":[5],""DO"":[1125],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:19:51.073365+08
"{""TMP"":[1040],""HR"":[6480],""PRS"":[101900],""FX"":[6],""DO"":[1564],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:18:46.840192+08
"{""TMP"":[1040],""HR"":[6600],""PRS"":[101900],""FX"":[6],""DO"":[1254],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:17:42.599229+08
"{""TMP"":[1040],""HR"":[6430],""PRS"":[101900],""FX"":[5],""DO"":[1113],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:16:38.416135+08
"{""TMP"":[1050],""HR"":[6569],""PRS"":[102000],""FX"":[6],""DO"":[1674],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:15:25.76538+08
"{""TMP"":[1060],""HR"":[6600],""PRS"":[101900],""FX"":[5],""DO"":[1485],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:14:21.49252+08
"{""TMP"":[1070],""HR"":[6700],""PRS"":[101900],""FX"":[6],""DO"":[1369],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:13:17.268414+08
"{""TMP"":[1060],""HR"":[6540],""PRS"":[101900],""FX"":[5],""DO"":[1755],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:12:13.035467+08
"{""TMP"":[1070],""HR"":[6669],""PRS"":[102000],""FX"":[5],""DO"":[1222],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:11:08.788151+08
"{""TMP"":[1060],""HR"":[6640],""PRS"":[101900],""FX"":[5],""DO"":[1351],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:10:04.554172+08
"{""TMP"":[1060],""HR"":[6790],""PRS"":[102000],""FX"":[5],""DO"":[2225],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:09:00.310509+08
"{""TMP"":[1050],""HR"":[6740],""PRS"":[101900],""FX"":[6],""DO"":[1498],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:07:56.068101+08
"{""TMP"":[1050],""HR"":[6650],""PRS"":[101900],""FX"":[6],""DO"":[1289],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:06:51.832111+08
"{""TMP"":[1070],""HR"":[6680],""PRS"":[101900],""FX"":[6],""DO"":[1958],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:05:47.603525+08
"{""TMP"":[1110],""HR"":[6980],""PRS"":[101900],""FX"":[6],""DO"":[1468],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:04:43.363655+08
"{""TMP"":[1080],""HR"":[6750],""PRS"":[101900],""FX"":[6],""DO"":[1413],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:03:39.120544+08
"{""TMP"":[1120],""HR"":[6740],""PRS"":[102000],""FX"":[6],""DO"":[1669],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:02:34.902028+08
"{""TMP"":[1170],""HR"":[6900],""PRS"":[101900],""FX"":[5],""DO"":[1143],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:01:30.666704+08
"{""TMP"":[1150],""HR"":[6960],""PRS"":[101900],""FX"":[5],""DO"":[1214],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 13:00:26.427638+08
"{""TMP"":[1180],""HR"":[6830],""PRS"":[101900],""FX"":[6],""DO"":[1634],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:59:22.179817+08
"{""TMP"":[1180],""HR"":[6569],""PRS"":[101900],""FX"":[6],""DO"":[2162],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:58:17.962072+08
"{""TMP"":[1230],""HR"":[6560],""PRS"":[101800],""FX"":[5],""DO"":[1234],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:57:13.682469+08
"{""TMP"":[1290],""HR"":[6730],""PRS"":[101800],""FX"":[6],""DO"":[2021],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:56:09.439957+08
"{""TMP"":[1220],""HR"":[6900],""PRS"":[101900],""FX"":[6],""DO"":[1961],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:55:05.364667+08
"{""TMP"":[1210],""HR"":[7019],""PRS"":[101900],""FX"":[5],""DO"":[1644],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:54:00.960641+08
"{""TMP"":[1110],""HR"":[7110],""PRS"":[101900],""FX"":[5],""DO"":[2683],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:52:56.717543+08
"{""TMP"":[1090],""HR"":[7010],""PRS"":[101900],""FX"":[6],""DO"":[2304],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:51:52.461827+08
"{""TMP"":[1150],""HR"":[7110],""PRS"":[101900],""FX"":[6],""DO"":[1728],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:50:48.2403+08
"{""TMP"":[1130],""PRS"":[101900],""FX"":[6],""DO"":[2289],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:49:43.974701+08
"{""TMP"":[1050],""PRS"":[101900],""FX"":[6],""DO"":[2232],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:48:39.413159+08
"{""TMP"":[1010],""PRS"":[101900],""FX"":[6],""DO"":[2078],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:47:34.8152+08
"{""TMP"":[970],""PRS"":[102000],""FX"":[5],""DO"":[2148],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:46:30.245388+08
"{""TMP"":[980],""HR"":[7269],""PRS"":[102000],""FX"":[6],""DO"":[1924],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:45:21.121188+08
"{""TMP"":[1000],""PRS"":[102000],""FX"":[6],""DO"":[1909],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:44:16.010889+08
"{""TMP"":[1020],""HR"":[7380],""PRS"":[102000],""FX"":[5],""DO"":[1393],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:43:11.450366+08
"{""TMP"":[1010],""HR"":[7380],""PRS"":[102000],""FX"":[5],""DO"":[1415],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:42:07.22161+08
"{""TMP"":[1010],""PRS"":[102000],""FX"":[6],""DO"":[1996],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:41:02.959219+08
"{""TMP"":[1020],""PRS"":[101900],""FX"":[5],""DO"":[2299],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:39:58.512113+08
"{""TMP"":[1010],""HR"":[7369],""PRS"":[101900],""FX"":[6],""DO"":[1423],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:38:53.803075+08
"{""TMP"":[1030],""HR"":[7440],""PRS"":[101900],""FX"":[6],""DO"":[1604],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:37:49.429311+08
"{""TMP"":[1030],""HR"":[7430],""PRS"":[102000],""FX"":[6],""DO"":[1641],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:36:45.005988+08
"{""TMP"":[1040],""PRS"":[102000],""FX"":[5],""DO"":[1961],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:35:40.765549+08
"{""TMP"":[1040],""PRS"":[101900],""FX"":[6],""DO"":[1515],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:34:36.211577+08
"{""TMP"":[1050],""HR"":[7440],""PRS"":[101900],""FX"":[5],""DO"":[1165],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:33:31.251122+08
"{""TMP"":[1070],""HR"":[7560],""PRS"":[102000],""FX"":[5],""DO"":[1825],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:32:27.013017+08
"{""TMP"":[1060],""HR"":[7600],""PRS"":[102000],""FX"":[6],""DO"":[1912],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:31:22.77508+08
"{""TMP"":[1040],""HR"":[7519],""PRS"":[102000],""FX"":[6],""DO"":[1339],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:30:18.571258+08
"{""TMP"":[1050],""HR"":[7410],""PRS"":[101900],""FX"":[6],""DO"":[1530],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:29:14.307558+08
"{""TMP"":[1080],""HR"":[7560],""PRS"":[101900],""FX"":[5],""DO"":[2036],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:28:10.083688+08
"{""TMP"":[1060],""FX"":[5],""DO"":[2358],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:27:05.829464+08
"{""TMP"":[1070],""HR"":[7469],""PRS"":[101900],""FX"":[6],""DO"":[1535],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:26:01.248075+08
"{""TMP"":[1070],""HR"":[7530],""PRS"":[101900],""FX"":[6],""DO"":[1250],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:24:57.003804+08
"{""TMP"":[1060],""PRS"":[101900],""FX"":[5],""DO"":[2098],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:23:52.767625+08
"{""TMP"":[1040],""HR"":[7480],""PRS"":[101900],""FX"":[5],""DO"":[1502],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:22:48.191118+08
"{""TMP"":[1050],""HR"":[7400],""PRS"":[101900],""FX"":[6],""DO"":[1520],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:21:43.946157+08
"{""TMP"":[1070],""HR"":[7460],""PRS"":[101900],""FX"":[5],""DO"":[1959],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:20:39.748502+08
"{""TMP"":[1090],""PRS"":[101900],""FX"":[5],""DO"":[2409],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:19:35.495305+08
"{""TMP"":[1160],""PRS"":[101900],""FX"":[5],""DO"":[2667],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:18:31.030416+08
"{""TMP"":[1170],""HR"":[7380],""PRS"":[101900],""FX"":[5],""DO"":[1406],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:17:26.338539+08
"{""TMP"":[1230],""HR"":[7450],""PRS"":[101900],""FX"":[6],""DO"":[1423],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:16:22.094072+08
"{""TMP"":[1130],""HR"":[7500],""PRS"":[101900],""FX"":[6],""DO"":[1465],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:15:10.111994+08
"{""TMP"":[1050],""HR"":[7510],""PRS"":[101900],""FX"":[5],""DO"":[1264],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:14:05.728164+08
"{""TMP"":[1060],""HR"":[7650],""PRS"":[101900],""FX"":[5],""DO"":[1252],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:13:01.353544+08
"{""TMP"":[1060],""HR"":[7560],""PRS"":[102000],""FX"":[6],""DO"":[1421],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:11:57.087609+08
"{""TMP"":[1060],""HR"":[7630],""PRS"":[102000],""FX"":[6],""DO"":[1644],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:10:52.626401+08
"{""TMP"":[1050],""HR"":[7619],""PRS"":[101900],""FX"":[6],""DO"":[1383],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:09:48.270754+08
"{""TMP"":[1050],""HR"":[7569],""PRS"":[102000],""FX"":[6],""DO"":[1210],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:08:44.051672+08
"{""TMP"":[1070],""HR"":[7569],""PRS"":[102000],""FX"":[5],""DO"":[1778],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:07:39.81363+08
"{""TMP"":[1090],""HR"":[7560],""PRS"":[102000],""FX"":[6],""DO"":[1249],""wTMP"":[1330],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:06:35.565658+08
"{""TMP"":[1120],""HR"":[7450],""PRS"":[101900],""FX"":[5],""DO"":[1455],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:05:31.35149+08
"{""TMP"":[1210],""HR"":[7240],""PRS"":[101900],""FX"":[6],""DO"":[1726],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:04:27.104166+08
"{""TMP"":[1290],""HR"":[7180],""PRS"":[101900],""FX"":[6],""DO"":[1537],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:03:22.871502+08
"{""TMP"":[1340],""HR"":[7210],""PRS"":[101900],""FX"":[6],""DO"":[1520],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:02:18.700211+08
"{""TMP"":[1340],""HR"":[7219],""PRS"":[101900],""FX"":[6],""DO"":[1977],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:01:14.382613+08
"{""TMP"":[1310],""HR"":[7119],""PRS"":[101800],""FX"":[6],""DO"":[1706],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 12:00:10.245374+08
"{""TMP"":[1340],""HR"":[7160],""PRS"":[101900],""FX"":[6],""DO"":[1875],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:59:05.912459+08
"{""TMP"":[1360],""HR"":[7190],""PRS"":[101900],""FX"":[6],""DO"":[1341],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:58:01.674883+08
"{""TMP"":[1340],""HR"":[7190],""PRS"":[101900],""FX"":[6],""DO"":[1440],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:56:57.424218+08
"{""TMP"":[1340],""HR"":[7260],""PRS"":[101900],""FX"":[6],""DO"":[1262],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:55:53.192653+08
"{""TMP"":[1340],""HR"":[7350],""PRS"":[102000],""FX"":[6],""DO"":[1331],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:54:48.939815+08
"{""TMP"":[1340],""HR"":[7430],""PRS"":[101900],""FX"":[5],""DO"":[1485],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:53:44.705508+08
"{""TMP"":[1320],""HR"":[7350],""PRS"":[101900],""FX"":[5],""DO"":[1473],""wTMP"":[1350],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:52:40.434833+08
"{""TMP"":[1330],""HR"":[7369],""PRS"":[101900],""FX"":[6],""DO"":[2309],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:51:36.15448+08
"{""TMP"":[1320],""PRS"":[101900],""FX"":[6],""DO"":[3033],""wTMP"":[1360],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:50:31.642403+08
"{""TMP"":[1310],""HR"":[7460],""PRS"":[101900],""FX"":[6],""DO"":[2267],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:49:26.874175+08
"{""TMP"":[1280],""PRS"":[102000],""FX"":[6],""DO"":[2579],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:48:22.617771+08
"{""TMP"":[1290],""HR"":[7510],""PRS"":[101900],""FX"":[5],""DO"":[2063],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:47:17.959247+08
"{""TMP"":[1280],""HR"":[7580],""PRS"":[101900],""FX"":[5],""DO"":[2038],""wTMP"":[1340],""wPH"":[1400],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",16/11/2023 11:46:14.055771+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[29543],""wTMP"":[630],""wPH"":[717],""WL"":[1192],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:40:42.072408+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[29709],""wTMP"":[610],""wPH"":[718],""WL"":[1192],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:39:40.20711+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[30030],""wTMP"":[580],""wPH"":[718],""WL"":[1192],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:38:38.309443+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[30348],""wTMP"":[560],""wPH"":[718],""WL"":[1192],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:37:36.338525+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[30849],""wTMP"":[530],""wPH"":[718],""WL"":[1192],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:36:34.334904+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[31420],""wTMP"":[500],""wPH"":[719],""WL"":[745],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:35:32.353711+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[31702],""wTMP"":[490],""wPH"":[719],""WL"":[0],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:34:30.409192+08
"{""TMP"":[700],""HR"":[5620],""PRS"":[103400],""FS"":[0],""FX"":[3],""DO"":[32557],""wTMP"":[530],""wPH"":[720],""WL"":[0],""wEC"":[2],""WD"":[3752],""JD"":[12201]}",13/11/2023 08:33:28.824175+08
"{""wTMP"":[1620],""wEC"":[20000]}",9/11/2023 15:02:25.224952+08
"{""TMP"":[1660],""HR"":[8760],""PRS"":[101600],""FX"":[5],""DO"":[13548],""wTMP"":[1660],""wPH"":[400],""WL"":[0],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",9/11/2023 07:34:18.984668+08
"{""TMP"":[1660],""HR"":[8790],""PRS"":[101600],""FX"":[6],""DO"":[13606],""wTMP"":[1660],""wPH"":[400],""WL"":[0],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",9/11/2023 07:28:21.751684+08
"{""TMP"":[1650],""HR"":[8760],""PRS"":[101600],""FX"":[6],""DO"":[13604],""wTMP"":[1650],""wPH"":[400],""WL"":[1259],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",9/11/2023 07:27:19.603187+08
"{""TMP"":[1770],""HR"":[7430],""PRS"":[101500],""FX"":[6],""DO"":[13609],""wTMP"":[1620],""wPH"":[638],""WL"":[61],""wEC"":[20000],""WD"":[3752],""JD"":[12201]}",8/11/2023 16:32:09.352928+08
